country_iso3,gco_country,who_region,income_label,dirac_matched,unit_pressure_rank,selected_site_cases_per_mv_unit_2050,high_growth_q75,lower_quartile_unit_density,acceleration_risk,selected_site_cases_2024,selected_site_cases_2050,selected_site_case_increase_2050,selected_site_relative_case_growth_2050,mv_therapy_units,mv_units_per_1000_selected_site_cases_2050
CAN,Canada,PAHO,High income,1,103.0,606.0405405405405,0,0,0,127868.0,179388.0,51520.0,0.4029155066161979,296.0,1.6500546301870804
CPV,Cape Verde,AFRO,Lower middle income,0,,,1,0,0,281.0,622.0,341.0,1.2135231316725978,,
CAF,Central African Republic,AFRO,Low income,0,,,1,0,0,1380.0,3246.0,1866.0,1.3521739130434782,,
LKA,Sri Lanka,SEARO,Lower middle income,1,62.0,1132.2068965517242,0,0,0,22311.0,32834.0,10523.0,0.4716507552328448,29.0,0.8832307973442164
TCD,Chad,AFRO,Low income,0,,,1,0,0,10692.0,27603.0,16911.0,1.5816498316498318,,
CHL,Chile,PAHO,High income,1,60.0,1139.9333333333334,0,0,0,24818.0,51297.0,26479.0,1.066927230236119,45.0,0.8772442832914206
CHN,China,WPRO,Upper middle income,1,51.0,1238.6824693042292,0,0,0,2465982.0,3631817.0,1165835.0,0.4727670356069103,2932.0,0.8073093991244603
COL,Colombia,PAHO,Upper middle income,1,49.0,1360.9591836734694,1,0,0,56862.0,133374.0,76512.0,1.345573493721642,98.0,0.7347758933525275
COM,Comoros,AFRO,Lower middle income,0,,,0,0,0,325.0,638.0,313.0,0.963076923076923,,
COG,"Congo, Republic of",AFRO,Lower middle income,0,,,1,0,0,2035.0,4844.0,2809.0,1.3803439803439803,,
COD,"Congo, Democratic Republic of",AFRO,Low income,1,1.0,91916.0,1,1,1,38447.0,91916.0,53469.0,1.3907196920435925,1.0,0.0108794986727011
CRI,Costa Rica,PAHO,Upper middle income,1,83.0,779.5833333333334,0,0,0,5361.0,9355.0,3994.0,0.7450102592799851,12.0,1.282736504543025
HRV,Croatia,EURO,High income,1,143.0,366.30555555555554,0,0,0,13232.0,13187.0,-45.0,-0.0034008464328899,36.0,2.729961325547888
CUB,Cuba,PAHO,Upper middle income,1,37.0,2009.35,0,1,0,29606.0,40187.0,10581.0,0.3573937715327974,20.0,0.4976733769626993
CYP,Cyprus,EURO,High income,1,111.0,535.6,0,0,0,3168.0,5356.0,2188.0,0.6906565656565656,10.0,1.8670649738610905
CZE,Czechia,EURO,High income,1,113.0,530.2835820895523,0,0,0,30896.0,35529.0,4633.0,0.1499546866908337,67.0,1.8857834445101185
BEN,Benin,AFRO,Lower middle income,0,,,1,0,0,5615.0,13360.0,7745.0,1.379341050756901,,
