country_iso3,country_display,who_region,income_label,dirac_last_update_year,selected_site_relative_case_growth_2050,mv_units_per_1000_selected_site_cases_2050,current_screen_positive,recent_dirac_record,recent_record_screen_positive,recency_disposition
DOM,Dominican Republic,PAHO,Upper middle income,2025.0,1.0968995385736258,0.8107169053777554,False,True,False,Not classified
ECU,Ecuador,PAHO,Upper middle income,2025.0,1.1657591785936527,1.364795460259311,False,True,False,Not classified
SLV,El Salvador,PAHO,Lower middle income,2026.0,0.7741360089186177,1.7594570818147544,False,True,False,Not classified
ETH,Ethiopia,AFRO,Low income,2022.0,1.409078816900046,0.0301165510525734,True,False,False,Primary country; record before 2023
EST,Estonia,EURO,High income,2026.0,0.1598062953995157,2.0876826722338206,False,True,False,Not classified
FIN,Finland,EURO,High income,2020.0,0.1222826086956521,2.522195318805488,False,False,False,Not classified
FRA,France (metropolitan),EURO,High income,2023.0,0.1386594314828992,2.241244401804005,False,True,False,Not classified
GAB,Gabon,AFRO,Upper middle income,2018.0,1.1987577639751552,1.1299435028248588,False,False,False,Not classified
GEO,Georgia,EURO,Upper middle income,2026.0,0.2364365367748402,2.026753141467369,False,True,False,Not classified
DEU,Germany,EURO,High income,2026.0,0.0781088609388575,2.5006571574826024,False,True,False,Not classified
GHA,Ghana,AFRO,Lower middle income,2026.0,1.2497048406139315,0.1749322137671652,True,True,True,Primary country retained
GRC,Greece,EURO,High income,2023.0,0.0872071664735637,1.5075507498765368,False,True,False,Not classified
GLP,"France, Guadeloupe",PAHO,,2023.0,-0.1666666666666666,3.076923076923077,False,True,False,Not classified
GTM,Guatemala,PAHO,Upper middle income,2026.0,1.4630908698467515,0.3505235946194628,True,True,True,Primary country retained
GUY,Guyana,PAHO,Upper middle income,2024.0,0.7627520759193357,0.6729475100942126,False,True,False,Not classified
HND,Honduras,PAHO,Lower middle income,2024.0,1.4228316326530612,0.8774238834781083,False,True,False,Not classified
HUN,Hungary,EURO,High income,2026.0,0.069582855631008,1.4841688654353562,False,True,False,Not classified
ISL,Iceland,EURO,High income,2018.0,0.5695238095238095,1.2135922330097086,False,False,False,Not classified
IND,India,SEARO,Lower middle income,2026.0,0.8308883898124698,0.4691844850003321,False,True,False,Not classified
IDN,Indonesia,SEARO,Lower middle income,2026.0,0.6677940027833176,0.2068247409936146,False,True,False,Not classified
IRN,"Iran, Islamic Republic of",EMRO,Lower middle income,2023.0,1.1122874051942082,0.8296554209821216,False,True,False,Not classified
IRQ,Iraq,EMRO,Upper middle income,2025.0,1.5282108607401306,1.3264451270594806,False,True,False,Not classified
IRL,Ireland,EURO,High income,2026.0,0.4979759910664433,1.8636723663979875,False,True,False,Not classified
ISR,Israel,EURO,High income,2026.0,0.6188598543072913,1.6100400445857244,False,True,False,Not classified
ITA,Italy,EURO,High income,2026.0,0.1121574233534973,2.4456838209604164,False,True,False,Not classified
CIV,Cote d'Ivoire,AFRO,Lower middle income,2026.0,1.4397199453551912,0.1399874011338979,True,True,True,Primary country retained
JAM,Jamaica,PAHO,Upper middle income,2025.0,0.620491614978176,0.7088176920895946,False,True,False,Not classified
JPN,Japan,WPRO,High income,2026.0,0.0006417222112891,2.10777439545781,False,True,False,Not classified
KAZ,Kazakhstan,EURO,Upper middle income,2026.0,0.6951194184839045,2.0828228375398186,False,True,False,Not classified
JOR,Jordan,EMRO,Upper middle income,2025.0,2.067455375674554,1.5562622640232762,False,True,False,Not classified
KEN,Kenya,AFRO,Lower middle income,2026.0,1.4265730994152046,0.3470347805968998,True,True,True,Primary country retained
PRK,Democratic People's Republic of Korea,SEARO,Low income,2016.0,0.3408911312382226,0.0453329706695679,False,False,False,Not classified
KOR,"Korea, Republic of",WPRO,High income,2023.0,0.4474527313595264,1.335066577662228,False,True,False,Not classified
KWT,Kuwait,EMRO,High income,2021.0,0.7997076023391813,1.353912808015164,False,False,False,Not classified
