country_iso3,country,who_region,income_label,gco2022_selected_cases_2022,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,selected_site_cases_2024,selected_site_cases_2050,selected_site_relative_case_growth_2050,gco2024_growth_percentile_common,mv_units_per_1000_selected_site_cases_2050,gco2022_screen_positive,current_screen_positive,burden_version_transition
DNK,Denmark,EURO,High income,21793.0,27190.0,0.2476483274445923,20.80536912751678,2.0228025009194557,21855.0,25777.0,0.1794555021734157,20.13422818791946,2.1336850680839508,False,False,Not screen-positive in either version
DOM,Dominican Republic,PAHO,Upper middle income,12575.0,23487.0,0.8677534791252485,53.02013422818792,0.8941116362242942,12353.0,25903.0,1.0968995385736258,71.14093959731544,0.8107169053777554,False,False,Not screen-positive in either version
DZA,Algeria,AFRO,Lower middle income,34189.0,69184.0,1.0235748340109392,63.08724832214765,0.9250693802035153,38240.0,73562.0,0.9236924686192468,61.74496644295302,0.8700144096136593,False,False,Not screen-positive in either version
ECU,Ecuador,PAHO,Upper middle income,13386.0,29246.0,1.1848199611534438,71.14093959731544,1.2993229843397387,12856.0,27843.0,1.1657591785936527,73.8255033557047,1.364795460259311,False,False,Not screen-positive in either version
EGY,Egypt,EMRO,Lower middle income,66257.0,143992.0,1.1732345261632733,69.12751677852349,0.7986554808600478,59636.0,119964.0,1.0116037292910325,66.44295302013423,0.958620919609216,False,False,Not screen-positive in either version
ESP,Spain,EURO,High income,143641.0,184356.0,0.2834497114333651,24.161073825503358,1.4211634012454164,140039.0,179162.0,0.2793721748941366,24.832214765100673,1.4623636708677064,False,False,Not screen-positive in either version
EST,Estonia,EURO,High income,3996.0,4663.0,0.16691691691691693,13.422818791946309,2.144542140253056,4130.0,4790.0,0.1598062953995157,18.120805369127517,2.0876826722338206,False,False,Not screen-positive in either version
FIN,Finland,EURO,High income,18410.0,21600.0,0.1732753938077132,14.093959731543624,2.314814814814815,17664.0,19824.0,0.1222826086956521,16.10738255033557,2.522195318805488,False,False,Not screen-positive in either version
FRA,France (metropolitan),EURO,High income,234249.0,277625.0,0.18517048098391028,16.778523489932887,2.0531292210715892,223353.0,254323.0,0.1386594314828992,16.778523489932887,2.241244401804005,False,False,Not screen-positive in either version
GAB,Gabon,AFRO,Upper middle income,1002.0,2504.0,1.4990019960079841,79.86577181208054,0.7987220447284346,805.0,1770.0,1.1987577639751552,75.83892617449665,1.1299435028248588,False,False,Not screen-positive in either version
GBR,United Kingdom,EURO,High income,230280.0,305661.0,0.3273449713392392,26.174496644295303,1.1712321820579008,225837.0,292222.0,0.293950946921895,26.174496644295303,1.225095988666151,False,False,Not screen-positive in either version
GEO,Georgia,EURO,Upper middle income,6838.0,6778.0,-0.008774495466510676,5.369127516778524,2.950722927117144,7981.0,9868.0,0.2364365367748402,22.818791946308725,2.026753141467369,False,False,Not screen-positive in either version
GLP,"France, Guadeloupe",PAHO,,1234.0,1147.0,-0.07050243111831442,2.013422818791946,2.6155187445510024,1170.0,975.0,-0.1666666666666666,1.342281879194631,3.076923076923077,False,False,Not screen-positive in either version
GRC,Greece,EURO,High income,35527.0,40972.0,0.15326371492104596,12.080536912751679,1.415600898174363,35387.0,38473.0,0.0872071664735637,12.080536912751679,1.5075507498765368,False,False,Not screen-positive in either version
GUY,Guyana,PAHO,Upper middle income,731.0,1123.0,0.5362517099863201,36.91275167785235,0.8904719501335708,843.0,1486.0,0.7627520759193357,55.033557046979865,0.6729475100942126,False,False,Not screen-positive in either version
HND,Honduras,PAHO,Lower middle income,4853.0,11494.0,1.3684318977951782,75.16778523489933,0.8700191404210893,4704.0,11397.0,1.4228316326530612,87.24832214765101,0.8774238834781083,False,False,Not screen-positive in either version
HRV,Croatia,EURO,High income,13831.0,14540.0,0.05126165859301569,7.38255033557047,2.4759284731774414,13232.0,13187.0,-0.0034008464328899,4.697986577181208,2.729961325547888,False,False,Not screen-positive in either version
HUN,Hungary,EURO,High income,34801.0,39282.0,0.1287606677969024,9.395973154362416,1.3746754238582557,34017.0,36384.0,0.069582855631008,10.06711409395973,1.4841688654353562,False,False,Not screen-positive in either version
IDN,Indonesia,SEARO,Lower middle income,209321.0,344756.0,0.6470206047171569,44.29530201342282,0.2523523883558227,252217.0,420646.0,0.6677940027833176,48.322147651006716,0.2068247409936146,False,False,Not screen-positive in either version
IND,India,SEARO,Lower middle income,822238.0,1576351.0,0.9171468601548457,56.375838926174495,0.5017917963702246,920812.0,1685904.0,0.8308883898124698,58.38926174496645,0.4691844850003321,False,False,Not screen-positive in either version
IRL,Ireland,EURO,High income,14622.0,23648.0,0.6172890165504035,42.281879194630875,1.6914749661705006,14328.0,21463.0,0.4979759910664433,38.25503355704698,1.8636723663979875,False,False,Not screen-positive in either version
