country_iso3,country,who_region,income_label,gco2022_selected_cases_2025,gco2022_selected_cases_2050,gco2022_selected_growth_2025_2050,gco2022_common_year_growth_percentile,gco2022_mv_per_1000_selected_cases_2050,gco2024_selected_cases_2025,gco2024_selected_cases_2050,gco2024_selected_growth_2025_2050,gco2024_common_year_growth_percentile,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,common_year_burden_version_transition
CHL,Chile,PAHO,High income,29156.0,51156.0,0.754561668267252,55.033557046979865,0.8796622097114708,25640,51297,1.0006630265210608,69.12751677852349,0.8772442832914206,False,False,Not screen-positive in either version
CHN,China,WPRO,Upper middle income,2470060.0,3601228.0,0.4579516287053756,37.58389261744966,0.8141667231288883,2503677,3631817,0.4505932674222753,36.91275167785235,0.8073093991244603,False,False,Not screen-positive in either version
COL,Colombia,PAHO,Upper middle income,59270.0,108519.0,0.8309262696136326,58.38926174496645,0.9030676655700846,59128,133374,1.25568258693005,79.86577181208054,0.7347758933525275,False,False,Not screen-positive in either version
CRI,Costa Rica,PAHO,Upper middle income,5601.0,10303.0,0.8394929476879128,59.06040268456376,1.1647093079685529,5522,9355,0.6941325606664253,51.67785234899329,1.282736504543025,False,False,Not screen-positive in either version
CUB,Cuba,PAHO,Upper middle income,30207.0,38305.0,0.26808355679147217,24.161073825503358,0.5221250489492233,30152,40187,0.3328137436985938,30.87248322147651,0.49767337696269937,False,False,Not screen-positive in either version
CYP,Cyprus,EURO,High income,3493.0,5689.0,0.6286859433152018,46.97986577181208,1.7577781683951486,3241,5356,0.6525763653193459,50.33557046979866,1.8670649738610903,False,False,Not screen-positive in either version
CZE,Czechia,EURO,High income,30994.0,35505.0,0.14554429889656062,14.093959731543624,1.8870581608224193,31124,35529,0.1415306515871996,17.449664429530202,1.8857834445101185,False,False,Not screen-positive in either version
DEU,Germany,EURO,High income,285400.0,329669.0,0.15511212333566923,16.778523489932887,2.1931088455390104,270058,289124,0.07059964896429656,11.409395973154362,2.5006571574826024,False,False,Not screen-positive in either version
DNK,Denmark,EURO,High income,22828.0,27190.0,0.1910811284387594,20.13422818791946,2.0228025009194557,22144,25777,0.1640625,20.13422818791946,2.1336850680839508,False,False,Not screen-positive in either version
DOM,Dominican Republic,PAHO,Upper middle income,13381.0,23487.0,0.7552499813167924,55.70469798657718,0.8941116362242942,12801,25903,1.0235137879853136,70.46979865771812,0.8107169053777554,False,False,Not screen-positive in either version
DZA,Algeria,AFRO,Lower middle income,36470.0,69184.0,0.8970112421168084,65.1006711409396,0.9250693802035153,39516,73562,0.8615750582042717,61.74496644295302,0.8700144096136593,False,False,Not screen-positive in either version
ECU,Ecuador,PAHO,Upper middle income,14318.0,29246.0,1.042603715602738,72.48322147651007,1.2993229843397387,13288,27843,1.0953491872366043,73.8255033557047,1.364795460259311,False,False,Not screen-positive in either version
EGY,Egypt,EMRO,Lower middle income,72099.0,143992.0,0.997142817514806,71.14093959731544,0.7986554808600478,61566,119964,0.9485430269954196,66.44295302013423,0.9586209196092161,False,False,Not screen-positive in either version
ESP,Spain,EURO,High income,151306.0,184356.0,0.2184315228741755,21.476510067114095,1.4211634012454164,142452,179162,0.2577008395810519,24.832214765100673,1.4623636708677064,False,False,Not screen-positive in either version
EST,Estonia,EURO,High income,4081.0,4663.0,0.1426121048762558,13.422818791946309,2.144542140253056,4157,4790,0.15227327399566995,18.120805369127517,2.0876826722338206,False,False,Not screen-positive in either version
FIN,Finland,EURO,High income,19053.0,21600.0,0.1336797354747284,12.751677852348994,2.314814814814815,17857,19824,0.11015288122304978,16.10738255033557,2.522195318805488,False,False,Not screen-positive in either version
FRA,France (metropolitan),EURO,High income,240984.0,277625.0,0.15204743883411348,15.436241610738255,2.0531292210715892,225979,254323,0.1254275839790423,16.778523489932887,2.241244401804005,False,False,Not screen-positive in either version
GAB,Gabon,AFRO,Upper middle income,1177.0,2504.0,1.1274426508071367,75.16778523489933,0.7987220447284346,831,1770,1.1299638989169676,75.83892617449665,1.1299435028248588,False,False,Not screen-positive in either version
GBR,United Kingdom,EURO,High income,238388.0,305661.0,0.2821996073627867,27.516778523489933,1.1712321820579008,228847,292222,0.2769317491599191,26.174496644295303,1.225095988666151,False,False,Not screen-positive in either version
GEO,Georgia,EURO,Upper middle income,6132.0,6778.0,0.10534898891063274,8.724832214765101,2.950722927117144,8052,9868,0.22553402881271734,23.48993288590604,2.026753141467369,False,False,Not screen-positive in either version
GLP,"France, Guadeloupe",PAHO,,1232.0,1147.0,-0.0689935064935065,1.342281879194631,2.6155187445510024,1182,975,-0.1751269035532995,1.342281879194631,3.076923076923077,False,False,Not screen-positive in either version
GRC,Greece,EURO,High income,36552.0,40972.0,0.12092361567082513,10.738255033557047,1.415600898174363,35509,38473,0.08347179588273396,12.751677852348994,1.5075507498765368,False,False,Not screen-positive in either version
GUY,Guyana,PAHO,Upper middle income,705.0,1123.0,0.5929078014184397,44.966442953020135,0.8904719501335708,866,1486,0.7159353348729792,54.36241610738255,0.6729475100942126,False,False,Not screen-positive in either version
